"","X.1","X","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365.2.5","B365.2.5.1","month","total_goals","more_2.5","predited_more_2.5","true_predicted_goals","predicted_result","true_predicted_result","final_at_half","home_predicted_rating","away_predicted_rating","home_final_rating","away_final_rating"
"200",200,200,"01/01/2020","12:30","Brighton","Chelsea",1,1,"D",0,1,"A","S Attwell",16,16,5,5,8,15,5,3,2,3,0,0,3.6,3.6,1.95,1.72,2.1,"January",2,"No","Yes","No","A","No","No","mid","top","mid","top"
"201",201,201,"01/01/2020","12:30","Burnley","Aston Villa",1,2,"A",0,2,"A","M Oliver",20,11,1,6,12,10,8,4,1,1,0,0,1.75,3.8,4.33,1.9,1.9,"January",3,"Yes","No","No","H","No","Yes","high","low","high","low"
"202",202,202,"01/01/2020","15:00","Newcastle","Leicester",0,3,"A",0,2,"A","M Atkinson",5,17,2,10,8,12,4,5,1,1,0,0,5,3.8,1.66,1.9,1.9,"January",3,"Yes","No","No","A","Yes","Yes","mid","high","mid","top"
"203",203,203,"01/01/2020","15:00","Southampton","Tottenham",1,0,"H",1,0,"H","M Dean",12,11,3,5,21,8,6,9,3,4,0,0,3.3,3.5,2.1,1.66,2.2,"January",1,"No","Yes","No","A","No","Yes","mid","top","mid","high"
"204",204,204,"01/01/2020","15:00","Watford","Wolves",2,1,"H",1,0,"H","A Madley",9,16,3,4,12,6,4,7,3,1,1,0,3,3.4,2.3,2,1.8,"January",3,"Yes","No","No","A","No","Yes","low","high","low","high"
"205",205,205,"01/01/2020","17:30","Man City","Everton",2,1,"H",0,0,"D","A Marriner",16,7,7,2,11,11,3,6,0,4,0,0,1.25,6.5,10,1.36,3.2,"January",3,"Yes","Yes","Yes","H","Yes","No","top","high","top","mid"
"206",206,206,"01/01/2020","17:30","Norwich","Crystal Palace",1,1,"D",1,0,"H","J Moss",15,12,4,3,12,9,2,5,5,0,0,0,2.5,3.4,2.75,1.9,1.9,"January",2,"No","No","Yes","H","No","No","low","high","low","mid"
"207",207,207,"01/01/2020","17:30","West Ham","Bournemouth",4,0,"H",3,0,"H","G Scott",14,3,7,2,3,12,9,2,1,2,0,0,1.9,3.75,3.8,1.66,2.2,"January",4,"Yes","Yes","Yes","H","Yes","Yes","low","mid","low","low"
"208",208,208,"01/01/2020","20:00","Arsenal","Man United",2,0,"H",2,0,"H","C Kavanagh",10,10,4,4,11,15,1,4,2,0,0,0,2.55,3.6,2.62,1.66,2.2,"January",2,"No","Yes","No","H","Yes","Yes","high","high","high","top"
"209",209,209,"02/01/2020","20:00","Liverpool","Sheffield United",2,0,"H",1,0,"H","P Tierney",19,3,7,2,5,8,8,4,0,0,0,0,1.2,6.5,13,1.53,2.5,"January",2,"No","Yes","No","H","Yes","Yes","top","low","top","high"
"210",210,210,"10/01/2020","20:00","Sheffield United","West Ham",1,0,"H",0,0,"D","M Oliver",13,7,3,2,11,6,7,3,1,0,0,0,1.95,3.4,4,2,1.8,"January",1,"No","No","Yes","H","Yes","No","high","mid","high","low"
"211",211,211,"11/01/2020","12:30","Crystal Palace","Arsenal",1,1,"D",0,1,"A","P Tierney",6,7,3,4,14,22,1,4,2,3,0,1,4.1,3.9,1.8,1.8,2,"January",2,"No","Yes","No","A","No","No","mid","top","mid","high"
"212",212,212,"11/01/2020","15:00","Chelsea","Burnley",3,0,"H",2,0,"H","K Friend",18,7,8,2,7,4,10,3,0,3,0,0,1.28,5.5,11,1.66,2.2,"January",3,"Yes","Yes","Yes","H","Yes","Yes","top","low","top","high"
"213",213,213,"11/01/2020","15:00","Everton","Brighton",1,0,"H",1,0,"H","D Coote",14,9,6,2,7,7,4,3,2,1,0,0,1.85,3.8,4,1.8,2,"January",1,"No","Yes","No","H","Yes","Yes","mid","low","mid","mid"
"214",214,214,"11/01/2020","15:00","Leicester","Southampton",1,2,"A",1,1,"D","L Mason",5,16,5,10,9,17,2,4,0,3,0,0,1.6,4,5.5,1.66,2.2,"January",3,"Yes","Yes","Yes","H","No","No","top","mid","top","mid"
"215",215,215,"11/01/2020","15:00","Man United","Norwich",4,0,"H",1,0,"H","A Taylor",13,8,6,3,18,7,4,2,0,0,0,0,1.33,5.25,8.5,1.57,2.37,"January",4,"Yes","Yes","Yes","H","Yes","Yes","top","low","top","low"
"216",216,216,"11/01/2020","15:00","Wolves","Newcastle",1,1,"D",1,1,"D","P Bankes",9,5,4,1,13,12,5,2,0,3,0,0,1.44,4.5,7.5,2,1.8,"January",2,"No","No","Yes","H","No","Yes","high","mid","high","mid"
"217",217,217,"11/01/2020","17:30","Tottenham","Liverpool",0,1,"A",0,1,"A","M Atkinson",14,13,4,7,4,8,4,3,0,2,0,0,4.5,4.33,1.66,1.61,2.3,"January",1,"No","Yes","No","A","Yes","Yes","high","top","high","top"
"218",218,218,"12/01/2020","14:00","Bournemouth","Watford",0,3,"A",0,1,"A","M Dean",10,18,1,6,3,13,5,5,1,1,0,0,2.6,3.3,2.7,1.9,1.9,"January",3,"Yes","No","No","H","No","Yes","low","mid","low","low"
"219",219,219,"12/01/2020","16:30","Aston Villa","Man City",1,6,"A",0,4,"A","J Moss",7,22,1,12,5,12,2,4,2,1,0,0,13,8.5,1.16,1.28,3.75,"January",7,"Yes","Yes","Yes","A","Yes","Yes","low","top","low","top"
"220",220,220,"18/01/2020","12:30","Watford","Tottenham",0,0,"D",0,0,"D","M Oliver",15,17,2,5,13,13,3,3,2,3,0,0,3.25,3.5,2.2,1.8,2,"January",0,"No","Yes","No","A","No","Yes","low","top","low","high"
"221",221,221,"18/01/2020","15:00","Arsenal","Sheffield United",1,1,"D",1,0,"H","M Dean",11,12,4,4,9,13,4,5,1,2,0,0,1.83,3.6,4.33,2,1.8,"January",2,"No","No","Yes","H","No","No","high","low","high","high"
"222",222,222,"18/01/2020","15:00","Brighton","Aston Villa",1,1,"D",1,0,"H","A Madley",10,8,2,3,11,13,3,4,3,3,0,0,1.66,4,5,1.66,2.2,"January",2,"No","Yes","No","H","No","No","mid","low","mid","low"
"223",223,223,"18/01/2020","15:00","Man City","Crystal Palace",2,2,"D",0,1,"A","S Scott",25,5,6,3,9,7,14,2,1,2,0,0,1.1,11,19,1.3,3.5,"January",4,"Yes","Yes","Yes","H","No","No","top","high","top","mid"
"224",224,224,"18/01/2020","15:00","Norwich","Bournemouth",1,0,"H",1,0,"H","P Tierney",16,6,5,3,10,10,4,5,2,2,1,1,2.2,3.5,3.25,1.8,2,"January",1,"No","Yes","No","H","Yes","Yes","low","mid","low","low"
"225",225,225,"18/01/2020","15:00","Southampton","Wolves",2,3,"A",2,0,"H","D England",11,8,5,4,13,12,1,3,2,1,0,0,2.4,3.4,3,2,1.8,"January",5,"Yes","No","No","H","No","No","mid","high","mid","high"
"226",226,226,"18/01/2020","15:00","West Ham","Everton",1,1,"D",1,1,"D","A Marriner",12,11,6,3,11,13,7,6,1,0,0,0,2.9,3.5,2.37,1.8,2,"January",2,"No","Yes","No","A","No","Yes","low","high","low","mid"
"227",227,227,"18/01/2020","17:30","Newcastle","Chelsea",1,0,"H",0,0,"D","C Kavanagh",7,19,2,4,9,14,1,10,1,1,0,0,6,4.5,1.5,1.72,2.1,"January",1,"No","Yes","No","A","No","No","mid","top","mid","top"
"228",228,228,"19/01/2020","14:00","Burnley","Leicester",2,1,"H",0,1,"A","A Taylor",8,18,5,8,14,8,4,5,1,0,0,0,4.33,3.75,1.83,1.9,1.9,"January",3,"Yes","No","No","A","No","No","high","high","high","top"
"229",229,229,"19/01/2020","16:30","Liverpool","Man United",2,0,"H",1,0,"H","C Pawson",16,9,5,4,7,10,11,5,1,3,0,0,1.36,5.25,8,1.66,2.2,"January",2,"No","Yes","No","H","Yes","Yes","top","high","top","top"
"230",230,230,"21/01/2020","19:30","Aston Villa","Watford",2,1,"H",0,1,"A","M Atkinson",16,8,5,2,11,18,6,3,2,2,0,0,2.8,3.5,2.45,1.9,1.9,"January",3,"Yes","No","No","A","No","No","low","mid","low","low"
"231",231,231,"21/01/2020","19:30","Bournemouth","Brighton",3,1,"H",2,0,"H","K Friend",11,21,3,8,9,12,5,8,1,1,0,0,2.87,3.4,2.45,2,1.8,"January",4,"Yes","No","No","A","No","Yes","low","low","low","mid"
"232",232,232,"21/01/2020","19:30","Crystal Palace","Southampton",0,2,"A",0,1,"A","A Marriner",6,15,0,6,12,13,0,8,1,2,0,0,2.7,3.25,2.7,2.2,1.66,"January",2,"No","No","Yes","H","No","Yes","mid","mid","mid","mid"
"233",233,233,"21/01/2020","19:30","Everton","Newcastle",2,2,"D",1,0,"H","S Hooper",17,8,8,2,13,10,6,4,1,1,0,0,1.55,4.1,6,1.9,1.9,"January",4,"Yes","No","No","H","No","No","mid","mid","mid","mid"
"234",234,234,"21/01/2020","19:30","Sheffield United","Man City",0,1,"A",0,0,"D","L Mason",4,18,1,5,13,13,5,13,4,3,0,0,7,5,1.4,1.61,2.3,"January",1,"No","Yes","No","A","Yes","No","high","top","high","top"
"235",235,235,"21/01/2020","20:15","Chelsea","Arsenal",2,2,"D",1,0,"H","S Attwell",19,2,8,2,11,6,17,5,2,1,0,1,1.72,3.9,4.5,1.72,2.1,"January",4,"Yes","Yes","Yes","H","No","No","top","top","top","high"
"236",236,236,"22/01/2020","19:30","Leicester","West Ham",4,1,"H",2,0,"H","D Coote",19,6,8,2,10,19,7,8,1,1,0,0,1.53,4.33,6,1.57,2.37,"January",5,"Yes","Yes","Yes","H","Yes","Yes","top","mid","top","low"
"237",237,237,"22/01/2020","19:30","Tottenham","Norwich",2,1,"H",1,0,"H","C Kavanagh",14,12,3,2,12,7,7,3,0,1,0,0,1.4,5,7.5,1.53,2.5,"January",3,"Yes","Yes","Yes","H","Yes","Yes","high","low","high","low"
"238",238,238,"22/01/2020","20:15","Man United","Burnley",0,2,"A",0,1,"A","J Moss",24,5,7,2,11,7,5,2,0,2,0,0,1.36,4.75,9,1.8,2,"January",2,"No","Yes","No","H","No","Yes","top","low","top","high"
"239",239,239,"23/01/2020","20:00","Wolves","Liverpool",1,2,"A",0,1,"A","M Oliver",10,13,3,6,6,11,2,4,0,1,0,0,5.75,3.8,1.61,1.8,2,"January",3,"Yes","Yes","Yes","A","Yes","Yes","high","top","high","top"
"240",240,240,"29/01/2020","19:45","West Ham","Liverpool",0,2,"A",0,1,"A","J Moss",7,13,4,5,6,6,3,7,2,0,0,0,8.5,5.5,1.33,1.57,2.37,"January",2,"No","Yes","No","A","Yes","Yes","low","top","low","top"
"241",241,241,"01/02/2020","12:30","Leicester","Chelsea",2,2,"D",0,0,"D","L Mason",14,7,4,3,16,14,4,6,2,2,0,0,2.5,3.6,2.7,1.72,2.1,"February",4,"Yes","Yes","Yes","H","No","Yes","top","top","top","top"
"242",242,242,"01/02/2020","15:00","Bournemouth","Aston Villa",2,1,"H",2,0,"H","A Taylor",16,18,6,5,10,15,1,8,1,3,1,0,2.1,3.6,3.3,1.8,2,"February",3,"Yes","Yes","Yes","H","Yes","Yes","low","low","low","low"
"243",243,243,"01/02/2020","15:00","Crystal Palace","Sheffield United",0,1,"A",0,0,"D","A Madley",13,10,3,3,9,15,9,5,3,2,0,0,3.1,3.1,2.5,2.62,1.5,"February",1,"No","No","Yes","A","Yes","No","mid","low","mid","high"
"244",244,244,"01/02/2020","15:00","Liverpool","Southampton",4,0,"H",0,0,"D","K Friend",16,17,9,4,9,15,6,11,0,2,0,0,1.25,6,12,1.53,2.5,"February",4,"Yes","Yes","Yes","H","Yes","No","top","mid","top","mid"
"245",245,245,"01/02/2020","15:00","Newcastle","Norwich",0,0,"D",0,0,"D","M Atkinson",15,19,5,4,10,15,8,12,2,1,0,0,2.2,3.4,3.3,2,1.8,"February",0,"No","No","Yes","H","No","Yes","mid","low","mid","low"
"246",246,246,"01/02/2020","15:00","Watford","Everton",2,3,"A",2,2,"D","C Pawson",11,12,2,5,17,14,4,4,2,2,0,1,2.75,3.3,2.62,2,1.8,"February",5,"Yes","No","No","A","Yes","No","low","high","low","mid"
"247",247,247,"01/02/2020","15:00","West Ham","Brighton",3,3,"D",2,0,"H","M Oliver",12,19,6,6,8,9,4,6,1,1,0,0,2.6,3.3,2.75,1.9,1.9,"February",6,"Yes","No","No","H","No","No","low","low","low","mid"
"248",248,248,"01/02/2020","17:30","Man United","Wolves",0,0,"D",0,0,"D","P Tierney",15,14,5,3,14,15,4,6,3,2,0,0,2.25,3.25,3.4,2.2,1.66,"February",0,"No","No","Yes","H","No","Yes","top","high","top","high"
"249",249,249,"02/02/2020","14:00","Burnley","Arsenal",0,0,"D",0,0,"D","C Kavanagh",15,13,2,2,8,11,5,7,1,3,0,0,3.6,3.6,2,1.9,1.9,"February",0,"No","No","Yes","A","No","Yes","high","top","high","high"
"250",250,250,"02/02/2020","16:30","Tottenham","Man City",2,0,"H",0,0,"D","M Dean",3,18,3,5,8,14,2,6,2,3,0,1,5.5,4.6,1.53,1.5,2.62,"February",2,"No","Yes","No","A","No","No","high","top","high","top"
"251",251,251,"08/02/2020","12:30","Everton","Crystal Palace",3,1,"H",1,0,"H","D Coote",14,10,8,2,11,12,4,6,0,1,0,0,1.61,3.8,6,2.1,1.72,"February",4,"Yes","No","No","H","Yes","Yes","mid","high","mid","mid"
"252",252,252,"08/02/2020","17:30","Brighton","Watford",1,1,"D",0,1,"A","K Friend",10,5,2,2,9,12,3,2,2,2,0,0,2.1,3.4,3.6,2,1.8,"February",2,"No","No","Yes","H","No","No","mid","mid","mid","low"
"253",253,253,"09/02/2020","14:00","Sheffield United","Bournemouth",2,1,"H",1,1,"D","J Moss",16,10,6,2,10,8,8,4,2,2,0,0,1.66,3.6,5.75,2.3,1.61,"February",3,"Yes","No","No","H","Yes","No","high","mid","high","low"
"254",254,254,"14/02/2020","20:00","Wolves","Leicester",0,0,"D",0,0,"D","M Dean",15,9,3,3,13,10,7,0,2,2,0,1,2.5,3.3,2.87,2,1.8,"February",0,"No","No","Yes","H","No","Yes","high","high","high","top"
"255",255,255,"15/02/2020","12:30","Southampton","Burnley",1,2,"A",1,1,"D","S Hooper",10,9,2,6,8,11,4,3,2,2,0,0,1.75,3.8,4.75,1.9,1.9,"February",3,"Yes","No","No","H","No","No","mid","low","mid","high"
"256",256,256,"15/02/2020","17:30","Norwich","Liverpool",0,1,"A",0,0,"D","S Attwell",5,17,1,6,5,11,2,7,1,2,0,0,11,6.25,1.25,1.53,2.5,"February",1,"No","Yes","No","A","Yes","No","low","top","low","top"
"257",257,257,"16/02/2020","14:00","Aston Villa","Tottenham",2,3,"A",1,2,"A","M Atkinson",18,23,4,10,12,10,12,7,2,0,0,0,4,3.8,1.85,1.72,2.1,"February",5,"Yes","Yes","Yes","A","Yes","Yes","low","top","low","high"
"258",258,258,"16/02/2020","16:30","Arsenal","Newcastle",4,0,"H",0,0,"D","L Mason",15,10,7,2,15,9,5,6,2,0,0,0,1.4,4.75,8,1.72,2.1,"February",4,"Yes","Yes","Yes","H","Yes","No","high","mid","high","mid"
"259",259,259,"17/02/2020","20:00","Chelsea","Man United",0,2,"A",0,1,"A","A Taylor",17,9,1,3,11,11,9,8,4,3,0,0,1.85,3.5,4.5,1.9,1.9,"February",2,"No","No","Yes","H","No","Yes","top","high","top","top"
"260",260,260,"19/02/2020","19:30","Man City","West Ham",2,0,"H",1,0,"H","K Friend",20,3,7,0,5,7,6,1,0,1,0,0,1.12,9.5,17,1.22,4.33,"February",2,"No","Yes","No","H","Yes","Yes","top","mid","top","low"
"261",261,261,"22/02/2020","12:30","Chelsea","Tottenham",2,1,"H",1,0,"H","M Oliver",17,5,7,3,14,14,3,5,1,2,0,0,1.72,4,4.5,1.8,2,"February",3,"Yes","Yes","Yes","H","Yes","Yes","top","top","top","high"
"262",262,262,"22/02/2020","15:00","Burnley","Bournemouth",3,0,"H",0,0,"D","M Dean",16,12,10,4,9,9,7,3,4,3,0,0,2.1,3.3,3.7,2.2,1.66,"February",3,"Yes","No","No","H","Yes","No","high","mid","high","low"
"263",263,263,"22/02/2020","15:00","Crystal Palace","Newcastle",1,0,"H",1,0,"H","P Bankes",18,8,9,2,15,11,7,5,2,6,0,1,1.95,3.4,4.2,2.5,1.53,"February",1,"No","No","Yes","H","Yes","Yes","mid","mid","mid","mid"
"264",264,264,"22/02/2020","15:00","Sheffield United","Brighton",1,1,"D",1,1,"D","G Scott",14,8,3,2,3,6,12,2,0,2,0,0,1.95,3.4,4.2,2.2,1.66,"February",2,"No","No","Yes","H","No","Yes","high","low","high","mid"
"265",265,265,"22/02/2020","15:00","Southampton","Aston Villa",2,0,"H",1,0,"H","C Pawson",28,4,9,1,13,17,9,6,1,4,0,0,1.61,4.33,5,1.57,2.37,"February",2,"No","Yes","No","H","Yes","Yes","mid","low","mid","low"
"266",266,266,"22/02/2020","17:30","Leicester","Man City",0,1,"A",0,0,"D","P Tierney",10,18,3,7,14,10,3,7,0,0,0,0,4.5,4.2,1.7,1.53,2.5,"February",1,"No","Yes","No","A","Yes","No","top","top","top","top"
"267",267,267,"23/02/2020","14:00","Man United","Watford",3,0,"H",1,0,"H","M Atkinson",21,7,9,2,6,15,3,5,0,1,0,0,1.6,3.9,6,1.9,1.9,"February",3,"Yes","No","No","H","Yes","Yes","top","mid","top","low"
"268",268,268,"23/02/2020","14:00","Wolves","Norwich",3,0,"H",2,0,"H","C Kavanagh",19,6,6,4,11,6,4,1,2,3,0,0,1.5,4.2,7,1.9,1.9,"February",3,"Yes","No","No","H","Yes","Yes","high","low","high","low"
"269",269,269,"23/02/2020","16:30","Arsenal","Everton",3,2,"H",2,2,"D","S Attwell",9,17,4,5,12,12,6,3,0,4,0,0,2,3.6,3.7,1.72,2.1,"February",5,"Yes","Yes","Yes","H","Yes","No","high","high","high","mid"
"270",270,270,"24/02/2020","20:00","Liverpool","West Ham",3,2,"H",1,1,"D","J Moss",25,7,7,4,4,10,16,8,0,3,0,0,1.16,8,15,1.36,3.2,"February",5,"Yes","Yes","Yes","H","Yes","No","top","mid","top","low"
"271",271,271,"28/02/2020","20:00","Norwich","Leicester",1,0,"H",0,0,"D","C Pawson",11,19,6,4,13,16,6,7,1,2,0,0,4.33,4.1,1.72,1.72,2.1,"February",1,"No","Yes","No","A","No","No","low","high","low","top"
"272",272,272,"29/02/2020","12:30","Brighton","Crystal Palace",0,1,"A",0,0,"D","M Atkinson",24,12,8,3,8,9,8,7,1,1,0,0,2.05,3.25,3.9,2.3,1.61,"February",1,"No","No","Yes","H","No","No","mid","high","mid","mid"
"273",273,273,"29/02/2020","15:00","Bournemouth","Chelsea",2,2,"D",0,1,"A","A Marriner",9,23,5,6,8,5,4,14,2,2,0,0,4.75,3.8,1.72,1.8,2,"February",4,"Yes","Yes","Yes","A","No","No","low","top","low","top"
"274",274,274,"29/02/2020","15:00","Newcastle","Burnley",0,0,"D",0,0,"D","A Madley",21,8,4,1,11,9,11,7,4,3,0,0,2.62,3.1,2.9,2.3,1.61,"February",0,"No","No","Yes","H","No","Yes","mid","low","mid","high"
"275",275,275,"29/02/2020","15:00","West Ham","Southampton",3,1,"H",2,1,"H","A Taylor",14,10,7,2,8,11,4,9,1,1,0,0,2.65,3.6,2.5,1.72,2.1,"February",4,"Yes","Yes","Yes","A","No","Yes","low","mid","low","mid"
"276",276,276,"29/02/2020","17:30","Watford","Liverpool",3,0,"H",0,0,"D","M Oliver",14,7,5,1,4,8,3,5,0,0,0,0,8,4.75,1.4,1.66,2.2,"February",3,"Yes","Yes","Yes","A","No","No","low","top","low","top"
"277",277,277,"01/03/2020","14:00","Everton","Man United",1,1,"D",1,1,"D","C Kavanagh",16,14,5,5,11,11,13,8,3,4,0,0,2.5,3.25,2.9,1.9,1.9,"March",2,"No","No","Yes","H","No","Yes","mid","high","mid","top"
"278",278,278,"01/03/2020","14:00","Tottenham","Wolves",2,3,"A",2,1,"H","S Attwell",13,14,5,4,12,14,4,5,3,2,0,0,2.45,3.2,3,2.2,1.66,"March",5,"Yes","No","No","H","No","No","high","high","high","high"
"279",279,279,"07/03/2020","12:30","Liverpool","Bournemouth",2,1,"H",2,1,"H","P Tierney",14,6,6,4,10,12,9,4,0,1,0,0,1.22,6.5,13,1.44,2.75,"March",3,"Yes","Yes","Yes","H","Yes","Yes","top","mid","top","low"
"280",280,280,"07/03/2020","15:00","Arsenal","West Ham",1,0,"H",0,0,"D","M Atkinson",9,14,2,6,11,9,6,7,1,2,0,0,1.57,4.4,5.5,1.57,2.37,"March",1,"No","Yes","No","H","Yes","No","high","mid","high","low"
"281",281,281,"07/03/2020","15:00","Crystal Palace","Watford",1,0,"H",1,0,"H","A Taylor",10,10,3,4,12,19,8,8,4,4,0,0,2.55,3.2,2.9,2.3,1.61,"March",1,"No","No","Yes","H","Yes","Yes","mid","mid","mid","low"
"282",282,282,"07/03/2020","15:00","Sheffield United","Norwich",1,0,"H",1,0,"H","S Hooper",10,12,4,5,12,8,10,5,0,0,0,0,1.65,3.75,5.75,2.1,1.72,"March",1,"No","No","Yes","H","Yes","Yes","high","low","high","low"
"283",283,283,"07/03/2020","15:00","Southampton","Newcastle",0,1,"A",0,0,"D","G Scott",6,14,3,7,14,15,5,8,0,3,1,0,1.61,4.1,5.25,1.8,2,"March",1,"No","Yes","No","H","No","No","mid","mid","mid","mid"
"284",284,284,"07/03/2020","15:00","Wolves","Brighton",0,0,"D",0,0,"D","A Marriner",11,7,1,1,4,7,2,0,1,3,0,0,1.61,3.9,5.75,2,1.8,"March",0,"No","No","Yes","H","No","Yes","high","low","high","mid"
"285",285,285,"07/03/2020","17:30","Burnley","Tottenham",1,1,"D",1,0,"H","J Moss",21,13,8,2,16,11,3,5,5,4,0,0,2.7,3.3,2.62,2.1,1.72,"March",2,"No","No","Yes","A","No","No","high","top","high","high"
"286",286,286,"08/03/2020","14:00","Chelsea","Everton",4,0,"H",2,0,"H","K Friend",17,3,11,1,8,10,6,1,1,2,0,0,1.8,3.9,4.2,1.72,2.1,"March",4,"Yes","Yes","Yes","H","Yes","Yes","top","high","top","mid"
"287",287,287,"08/03/2020","16:30","Man United","Man City",2,0,"H",1,0,"H","M Dean",12,7,6,2,11,9,2,11,2,4,0,0,5,4.33,1.6,1.66,2.2,"March",2,"No","Yes","No","A","No","Yes","top","top","top","top"
"288",288,288,"09/03/2020","20:00","Leicester","Aston Villa",4,0,"H",1,0,"H","M Oliver",15,4,7,1,15,12,9,0,2,1,0,0,1.36,5.25,8,1.53,2.5,"March",4,"Yes","Yes","Yes","H","Yes","Yes","top","low","top","low"
"289",289,289,"17/06/2020","18:00","Aston Villa","Sheffield United",0,0,"D",0,0,"D","M Oliver",14,5,6,1,11,14,12,4,1,1,0,0,3.2,3.4,2.25,2.1,1.72,"June",0,"No","No","Yes","A","No","Yes","low","low","low","high"
"290",290,290,"17/06/2020","20:15","Man City","Arsenal",3,0,"H",1,0,"H","A Taylor",20,3,12,0,9,7,5,2,1,1,0,1,1.36,5.25,7.5,1.36,3.2,"June",3,"Yes","Yes","Yes","H","Yes","Yes","top","top","top","high"
"291",291,291,"19/06/2020","18:00","Norwich","Southampton",0,3,"A",0,0,"D","K Friend",9,22,1,9,9,15,9,7,1,1,0,0,2.8,3.5,2.45,1.9,1.9,"June",3,"Yes","No","No","A","Yes","No","low","mid","low","mid"
"292",292,292,"19/06/2020","20:15","Tottenham","Man United",1,1,"D",1,0,"H","J Moss",10,12,3,6,17,18,7,6,0,1,0,0,3,3.4,2.37,1.9,1.9,"June",2,"No","No","Yes","A","No","No","high","high","high","top"
"293",293,293,"20/06/2020","12:30","Watford","Leicester",1,1,"D",0,0,"D","C Pawson",8,15,4,2,15,12,2,7,0,1,0,0,3.6,3.5,2.05,1.9,1.9,"June",2,"No","No","Yes","A","No","Yes","low","high","low","top"
"294",294,294,"20/06/2020","15:00","Brighton","Arsenal",2,1,"H",0,0,"D","M Atkinson",9,13,5,6,13,8,10,7,2,1,0,0,3.1,3.25,2.37,1.9,1.9,"June",3,"Yes","No","No","A","No","No","mid","top","mid","high"
"295",295,295,"20/06/2020","17:30","West Ham","Wolves",0,2,"A",0,0,"D","A Taylor",7,10,2,6,8,7,5,7,1,1,0,0,3.6,3.4,2.1,2,1.8,"June",2,"No","No","Yes","A","Yes","No","low","high","low","high"
"296",296,296,"20/06/2020","19:45","Bournemouth","Crystal Palace",0,2,"A",0,2,"A","S Attwell",12,7,1,2,13,15,11,4,3,2,0,0,2.45,3.2,3,2.1,1.72,"June",2,"No","No","Yes","H","No","Yes","low","high","low","mid"
"297",297,297,"21/06/2020","14:00","Newcastle","Sheffield United",3,0,"H",0,0,"D","D Coote",12,7,8,1,9,10,2,4,2,0,0,1,3.3,3.1,2.37,2.5,1.53,"June",3,"Yes","No","No","A","No","No","mid","low","mid","high"
"298",298,298,"21/06/2020","16:15","Aston Villa","Chelsea",1,2,"A",1,0,"H","P Tierney",8,19,4,5,9,17,2,10,2,1,0,0,6,4.5,1.5,1.57,2.37,"June",3,"Yes","Yes","Yes","A","Yes","No","low","top","low","top"
"299",299,299,"21/06/2020","19:00","Everton","Liverpool",0,0,"D",0,0,"D","M Dean",9,10,3,3,15,12,1,6,2,2,0,0,6,4.2,1.55,1.66,2.2,"June",0,"No","Yes","No","A","No","Yes","mid","top","mid","top"
"300",300,300,"22/06/2020","20:00","Man City","Burnley",5,0,"H",3,0,"H","A Marriner",19,1,7,0,8,7,3,1,1,1,0,0,1.12,9,15,1.33,3.4,"June",5,"Yes","Yes","Yes","H","Yes","Yes","top","low","top","high"
"301",301,301,"23/06/2020","18:00","Leicester","Brighton",0,0,"D",0,0,"D","L Mason",11,10,2,2,10,13,6,7,2,2,0,0,1.6,4,5.75,1.9,1.9,"June",0,"No","No","Yes","H","No","Yes","top","low","top","mid"
"302",302,302,"23/06/2020","20:15","Tottenham","West Ham",2,0,"H",0,0,"D","C Pawson",15,10,4,2,12,7,9,4,2,2,0,0,1.66,4,5,1.8,2,"June",2,"No","Yes","No","H","Yes","No","high","mid","high","low"
"303",303,303,"24/06/2020","18:00","Man United","Sheffield United",3,0,"H",2,0,"H","A Taylor",15,4,6,1,10,6,10,5,1,0,0,0,1.4,4.5,8.5,2,1.8,"June",3,"Yes","No","No","H","Yes","Yes","top","low","top","high"
"304",304,304,"24/06/2020","18:00","Newcastle","Aston Villa",1,1,"D",0,0,"D","C Kavanagh",13,14,3,2,15,13,6,9,2,2,0,0,2.3,3.3,3.2,2.1,1.72,"June",2,"No","No","Yes","H","No","Yes","mid","low","mid","low"
"305",305,305,"24/06/2020","18:00","Norwich","Everton",0,1,"A",0,0,"D","A Madley",9,12,1,5,8,13,6,5,0,1,0,0,3.9,3.6,1.9,1.8,2,"June",1,"No","Yes","No","A","Yes","No","low","high","low","mid"
"306",306,306,"24/06/2020","18:00","Wolves","Bournemouth",1,0,"H",0,0,"D","M Oliver",10,4,2,0,11,11,6,4,3,3,0,0,1.55,4,6,2.1,1.72,"June",1,"No","No","Yes","H","Yes","No","high","mid","high","low"
"307",307,307,"24/06/2020","20:15","Liverpool","Crystal Palace",4,0,"H",2,0,"H","M Atkinson",21,3,7,0,7,5,6,0,0,0,0,0,1.22,6.5,13,1.66,2.2,"June",4,"Yes","Yes","Yes","H","Yes","Yes","top","high","top","mid"
"308",308,308,"25/06/2020","18:00","Burnley","Watford",1,0,"H",0,0,"D","M Dean",9,10,5,4,13,15,1,7,1,0,0,0,3,3.25,2.45,2.2,1.66,"June",1,"No","No","Yes","A","No","No","high","mid","high","low"
